true_metascore,predicted_metascore
62.0,72.1375
58.0,62.43
82.0,79.855
75.0,72.615
80.0,80.67
76.0,77.78
86.0,84.01
74.0,68.79
79.0,70.3575
79.0,71.2325
81.0,76.63
64.0,66.7625
70.0,78.635
87.0,77.105
77.0,79.4825
75.0,75.0025
59.0,66.1425
58.0,66.92
78.0,74.4825
83.0,78.325
83.0,77.8425
70.0,69.79
72.0,71.3975
81.0,73.88
74.0,74.125
67.0,76.605
62.0,74.51
77.0,81.7
86.0,82.705
80.0,77.8975
57.0,66.4325
51.0,62.545
83.0,77.8525
47.0,75.7375
84.0,81.29
42.0,55.3725
69.0,68.015
72.0,71.1825
75.0,72.0425
46.0,48.735
71.0,79.0525
81.0,74.5975
91.0,83.7925
69.0,67.1225
81.0,79.105
78.0,69.4425
85.0,80.1725
42.0,54.3025
86.0,76.985
73.0,60.3125
56.0,63.77
64.0,70.7275
88.0,82.9675
78.0,78.1825
76.0,68.99
59.0,73.18
82.0,82.5125
56.0,60.7325
89.0,86.7775
70.0,76.0775
65.0,66.9425
66.0,59.8675
72.0,69.6125
65.0,58.5425
40.0,44.8825
82.0,78.0725
76.0,77.7375
77.0,80.2875
68.0,69.8225
62.0,63.65
78.0,72.04
93.0,84.69
43.0,61.3325
73.0,78.55
64.0,76.545
68.0,76.1175
90.0,73.54
84.0,79.28
82.0,68.8675
65.0,76.1425
75.0,73.095
67.0,69.82
75.0,76.8225
34.0,46.35
74.0,70.8725
63.0,79.25
79.0,68.9025
70.0,73.1025
82.0,77.3925
74.0,68.43
50.0,53.6425
64.0,65.075
59.0,42.68
62.0,77.9125
30.0,68.7675
53.0,66.1575
66.0,75.7575
62.0,55.225
71.0,70.54
72.0,74.52
75.0,82.6925
77.0,70.045
62.0,61.22
64.0,74.715
57.0,64.87
87.0,80.255
73.0,69.53
72.0,70.355
82.0,66.9275
74.0,69.8825
59.0,61.7975
82.0,80.0025
64.0,71.01
78.0,76.94
69.0,69.585
72.0,78.995
78.0,77.1725
84.0,76.5325
38.0,54.2775
73.0,73.345
68.0,73.275
60.0,64.4675
66.0,69.5725
84.0,80.5175
77.0,68.7025
39.0,41.36
67.0,72.63
88.0,85.24
90.0,77.3175
84.0,78.175
63.0,68.315
66.0,77.46
78.0,78.235
65.0,64.0675
49.0,50.8025
78.0,72.9275
76.0,77.215
89.0,78.5125
67.0,71.4725
43.0,57.8525
86.0,85.2775
62.0,70.67
72.0,69.8675
92.0,80.285
71.0,69.2975
69.0,64.1875
77.0,70.1675
75.0,70.61
72.0,54.09
63.0,71.32
78.0,74.1425
71.0,71.9575
75.0,72.515
65.0,62.255
80.0,79.945
87.0,68.17
72.0,68.495
73.0,78.75
78.0,72.26050000000001
50.0,70.5275
75.0,69.965
72.0,70.1775
75.0,69.26
54.0,46.575
72.0,77.7125
91.0,82.3175
82.0,81.305
80.0,74.39
58.0,66.3975
72.0,79.6875
62.0,71.035
76.0,74.5825
71.0,75.3925
60.0,67.82
74.0,58.4375
62.0,72.225
87.0,74.69
66.0,75.01
82.0,76.1325
50.0,56.0625
80.0,63.7325
74.0,67.8125
78.0,63.2675
68.0,77.89
37.0,63.0475
79.0,78.9475
86.0,77.585
46.0,61.8925
73.0,75.4425
75.0,69.57
79.0,78.525
76.0,65.6075
79.0,73.7025
43.0,58.465
85.0,68.8775
80.0,76.8125
91.0,88.1525
77.0,76.56
64.0,64.07
72.0,77.6725
84.0,76.11
82.0,76.43
62.0,65.855
73.0,77.5775
65.0,67.4275
52.0,66.55
94.0,79.3525
69.0,76.2475
58.0,74.3225
92.0,76.225
56.0,63.4925
57.0,70.8375
74.0,69.8925
43.0,42.245
67.0,76.6625
49.0,63.995
74.0,75.7175
87.0,77.0325
37.0,49.225
59.0,62.4575
70.0,59.6875
70.0,70.45
75.0,73.2675
51.0,56.3975
65.0,73.965
65.0,56.36
76.0,76.57
76.0,79.235
81.0,78.9075
78.0,78.4275
63.0,60.9725
74.0,70.98
68.0,69.2925
64.0,76.215
68.0,69.6275
46.0,63.7375
57.0,63.17
85.0,78.0325
56.0,70.745
48.0,58.5475
26.0,48.34
70.0,72.5525
55.0,66.525
77.0,68.45
87.0,88.6825
78.0,59.17
77.0,76.76
69.0,67.725
36.0,43.35
47.0,62.8275
85.0,75.1675
63.0,63.98
72.0,71.6
63.0,75.63
77.0,78.88
81.0,69.7775
59.0,61.87
